,Name,IMDB Rating,Duration,Year,Age,Subtitles Available,Genres,Subtitles
3768,Internal Affairs,6.5,114 min,1990,18+,CC,"Action/Adventure: Crime, Drama: Crime, Thriller: Crime",English
3769,Disturbia,6.9,104 min,2007,18+,CC,"Drama, Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Mystery",English [CC]
3770,The Core,5.4,134 min,2003,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Thriller: Action/Adventure",English [CC]
3771,Thupakki,7.9,169 min,2012,All Ages,,"Action/Adventure: Espionage & Spies, Thriller: Action/Adventure, Thriller: Crime, World Cinema: Indian",
3772,Double Jeopardy (1999),6.4,105 min,1999,18+,CC,"Drama, Drama: Crime, Thriller: Mystery",English
3773,Jackie Brown,7.5,154 min,1997,18+,,"Drama: Crime, Thriller: Crime",
3774,22 Shey Shraban,8.1,139 min,2011,18+,,"Drama, Drama: Mystery, Thriller, Thriller: Psychological, World Cinema: Indian",
3775,The Score,6.8,124 min,2001,18+,CC,"Drama: Crime, Thriller: Crime",English
3776,The Faculty,6.4,104 min,1998,18+,,"Horror: Sci-Fi/Fantasy, Thriller: Sci-Fi/Fantasy",
3777,Kaal,4.5,125 min,2005,13+,,"Bollywood: Thriller, Thriller: Mystery, World Cinema: Indian",
3778,Dreamcatcher (2003),5.5,133 min,2003,18+,CC,"Horror, Sci-Fi/Fantasy: Horror, Thriller: Mystery",
3779,Vanilla Sky,6.9,135 min,2001,18+,CC,"Drama: Thriller, Drama: Romance, Thriller: Mystery, Thriller: Psychological",
3780,Obhishopto Nighty,5.5,111 min,2014,18+,,"Comedy: Mature, Drama: Mature, Thriller, World Cinema: Indian",
3781,Murder 2,6.1,126 min,2011,18+,,"Bollywood, Bollywood: Thriller, Horror: Slasher, Thriller, World Cinema: Indian",
3782,Baadshahi Aangti,6.5,74 min,2014,All Ages,,"Thriller: Mystery, Thriller, World Cinema: Indian",
3783,Final Destination,6.7,98 min,2000,18+,CC,"Horror: Thriller, Thriller: Horror, Thriller: Psychological, Thriller: Supernatural",
3784,Anukshanam,5.6,82 min,2014,18+,,"Horror: Slasher, Thriller: Crime, World Cinema: Indian",
3785,Adigaram 79,,92 min,2012,13+,CC,"Action/Adventure: Martial Arts, Drama: Thriller, Thriller: Crime, World Cinema: Indian",English [CC]
3786,Sphere,6.0,134 min,1998,13+,CC,"Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller, Thriller: Mystery, Thriller: Sci-Fi/Fantasy",English [CC]
3787,Freddy vs. Jason,5.8,97 min,2003,18+,CC,"Horror: Slasher, Horror: Thriller, Thriller: Horror",English [CC]
3788,Ice Cream,4.6,95 min,2014,18+,,"Thriller: Horror, Thriller: Mystery, Thriller: Psychological, World Cinema: Indian",
3789,Royal Bengal Rahasya,7.3,102 min,2011,13+,,"Action/Adventure: Thriller, Thriller: Mystery, World Cinema: Indian",
3790,Snakes on a Plane,5.6,105 min,2006,18+,CC,"Action/Adventure: Crime, Action/Adventure: Thriller, Thriller: Action/Adventure",
3791,Red Eye,6.5,85 min,2005,13+,CC,"Drama: Crime, Drama: Thriller, Thriller: Crime, Thriller: Drama",
3792,Eagle Eye,6.6,117 min,2008,18+,CC,"Thriller: Action/Adventure, Thriller: Drama, Thriller: Mystery",हिन्दी
3793,Maryan,7.3,122 min,2013,All Ages,,"Drama: Thriller, Thriller: Action/Adventure, World Cinema: Indian",
3794,Mantra2,,107 min,2015,18+,,"Thriller: Drama, Thriller: Mystery, Thriller: Psychological, World Cinema: Indian",
